text,label
"I am feeling completely fine and ready for the exam.","Normal"
"I have a bit of nervousness about the test tomorrow.","Anxiety"
"This pressure is totally overwhelming me.","Stress"
"I can't get out of bed, I feel so hopeless about my grades.","Depression"
"I just want it all to end, there's no way out.","Suicidal"
"Studying is going well, I feel prepared.","Normal"
"My heart races when I think about the exam questions.","Anxiety"
"I have so much to do and so little time, it's stressing me out.","Stress"
"I feel empty and no longer care about the results.","Depression"
"Everything is dark and I can't take this pain anymore.","Suicidal"
"I sleep well and have a good study schedule.","Normal"
"I am worried I might forget everything.","Anxiety"
"The workload is just too much to handle right now.","Stress"
"No matter how much I study, I feel like a failure.","Depression"
"The exam stress makes me want to disappear forever.","Suicidal"
"I took a break and feel refreshed to study again.","Normal"
"I keep biting my nails thinking about the results.","Anxiety"
"I can't concentrate because of all the pressure.","Stress"
"I've lost my appetite and feel deeply sad every day.","Depression"
"I'm having dangerous thoughts because of my studies.","Suicidal"
"I understand the concepts well.","Normal"
"I get a little shaky before big tests.","Anxiety"
"I'm pulling an all-nighter and I feel terribly stressed.","Stress"
"I cry myself to sleep thinking about my future.","Depression"
"I don't see the point in living if I fail.","Suicidal"
